date_checked,permit_group,source_url,source_last_updated,method,verdict,summary,conflict_id
2026-07-22,hoover,,,websearch,new-group,"Initial 50%-at-6mo/50%-at-3day split figure from web-search synthesis, no single primary page.",
2026-07-22,inyo_jmw_aaw,,,websearch,new-group,Initial May 1 - Nov 1 season and 60/40 6mo/2wk split from web-search synthesis.,
2026-07-22,whitney_zone,,,websearch,new-group,"Initial lottery date estimates from web-search synthesis (apply Feb1-Mar1, ~Mar15 results, Apr21 claim, Apr22 release).",
2026-07-22,sierra_nf,,,websearch,new-group,Initial May1-Sep30 seasonal-quota guess and 60/40 6mo/2wk-release-style split guess -- BOTH later found wrong by a primary source.,
2026-07-22,yosemite,,,websearch,new-group,Season/split from web-search synthesis. Never independently re-checked against a primary source since.,
2026-07-22,seki,,,websearch,new-group,2026 season May22-Sep26 and rolling 6mo release from web-search synthesis. Never independently re-checked against a primary source since.,
2026-07-22,gtw_free,https://www.fs.usda.gov/r05/sequoia/recreation/golden-trout-wilderness,,websearch,new-group,"Free self-issue, no quota, from web-search synthesis. Never independently re-checked against a primary source since.",
2026-07-22,desolation,,,websearch,new-group,Initial Apr24-Oct18 season guess and 70/30 split guess -- season later found wrong by a primary source; split never independently confirmed.,
2026-07-22,cpma,,,websearch,new-group,Initial season/quota-count/fee guesses from web-search synthesis.,
2026-07-22,mokelumne_free,https://www.fs.usda.gov/r05/eldorado/wilderness/mokelumne-wilderness-general-overnight-permits,,websearch,new-group,"Free self-issue outside CPMA, from web-search synthesis. Never independently re-checked against a primary source since.",
2026-07-22,stanislaus_free,https://www.fs.usda.gov/r05/stanislaus/permits/wilderness-permits,,websearch,new-group,"Free self-issue, no quota, from web-search synthesis. Never independently re-checked against a primary source since.",
2026-07-22,none,,,general-knowledge,new-group,"Blanket disclaimer row for non-wilderness trailheads; California Campfire Permit reference is generic USFS policy, not agency-specific -- no single source to log.",
2026-07-22,sierra_nf,https://www.fs.usda.gov/r05/sierra/permits/obtaining-wilderness-permit ; https://www.recreation.gov/permits/445858,2026-01-22,user-screenshot,corrects-existing,"CORRECTED the 2026-07-22 web-search entry: quotas are year-round, not May-Sep seasonal (fixed a real code bug in in_quota_season() that assumed no-season-bounds meant never-in-season). Reservation is a continuous 6mo-to-14-day rolling window, not a two-stage 60/40 release. Fee, pickup-in-person requirement, and no-phone-reservations detail corrected/added.",
2026-07-22,desolation,https://www.recreation.gov/permits/233261,,user-screenshot,corrects-existing,"CORRECTED the 2026-07-22 web-search entry: quota season is Friday-before-Memorial-Day through a FIXED Sep 30 end date, not Apr24-Oct18 (that range was untraceable to any real source). Unconfirmed 70/30 split language dropped in favor of the actually-confirmed mechanics (45 Destination Zones, 6-month window, walk-in during season).",
2026-07-22,cpma,https://www.fs.usda.gov/r05/eldorado/wilderness/carson-pass-management-area-permits,2026-04-06,user-screenshot,corrects-existing,"CORRECTED the 2026-07-22 web-search entry: fee was wrong (separate $5/day parking fee + Sno-Park permit required, not ""included in permit""); off-season is NOT self-issue, requires contacting Amador Ranger District in person or by email. Season, 14-permit/day quota, and 8-person group cap confirmed as correct.",
2026-07-22,hoover,https://www.fs.usda.gov/r04/humboldt-toiyabe/permits/hoover-wilderness-permits,2026-04-29,user-pasted-text,corrects-existing,"CONFIRMED the 50/50 6mo/3day split from web-search. CORRECTED the quota'd trailhead list: official list is Buckeye Creek, Green Creek, Horse Creek, Leavitt Meadows, Little Slide Canyon, Robinson Creek, Virginia Lakes -- not ""Green Lakes"" (wrong name) or ""Twin Lakes"" (the trailhead is officially named Robinson Creek). Removed an unconfirmed off-season self-issue claim; source doesn't state the off-season issuance method.",
2026-07-22,inyo_jmw_aaw,https://www.fs.usda.gov/r05/inyo/permits/wilderness-permits,2026-07-08,user-screenshot,confirms-existing,"Independently corroborated the May1-Nov1 season and 60/40 6mo/2wk split exactly. Added that this page states Inyo NF also issues permits for the Hoover Wilderness portion (not just John Muir/Ansel Adams/Golden Trout), which the hoover-permit_group entry above already implied from the other side.",
2026-07-23,whitney_zone,https://www.recreation.gov/permits/445860,,user-screenshot,unresolved-conflict,"Screenshot (low resolution, full scrolled page compressed to one tall image) appeared to show TWO different ""results"" dates -- Feb 22 and Mar 15 -- alongside the already-confirmed Apr21/Apr22 dates. Could not tell if this was two real steps or a misread. Flagged rather than guessed; NOT yet reconciled at this point in the log.",whitney-results-date
2026-07-23,whitney_zone,https://www.recreation.gov/permits/445860,,user-pasted-full-text,corrects-existing,"RESOLVED the prior unresolved-conflict entry: clean full-page text shows only ONE results date (Mar 15) -- the screenshot ambiguity was a resolution/misread issue, not a real second date on the page. Also CORRECTED: daily quota numbers were backwards in the existing data (should be 100/day Day Use, 60/day Overnight, not reversed). CORRECTED: off-season (Nov2-Apr30) still requires an online reservation, not self-issue walk-up as previously assumed. NEW: Day Use permits explicitly cannot combine with other permits for pass-through/exit -- narrowed the interagency_note to Overnight-only. NEW, IMPORTANT: this permit's scope is limited to the classic Mt. Whitney Trail; the page explicitly excludes the North Fork of Lone Pine Creek trail (Mountaineers Route / Mt. Russell) from this lottery, directing climbers to the regular Inyo NF permit instead -- this became the basis for the permit_group_override mechanism added later the same day.",whitney-results-date
2026-07-23,inyo_gtw,https://www.fs.usda.gov/sites/nfs/files/legacy-media/inyo/List%20of%20Trail%20Names%20and%20Quotas%206-13-2021.pdf,2021-06-13,user-pdf-screenshot,new-group,"New permit_group. Cottonwood Lakes (trail code GT39) and Cottonwood Pass (GT60) are GT-prefixed trails, which per this PDF's footer text have a DIFFERENT quota season (last Friday in June - Sep 15) than the general Inyo John Muir/Ansel Adams May1-Nov1 season. Season NAME corroborated by the fs.usda.gov general wilderness-permits page (source_last_updated 2026-07-08, see the inyo_jmw_aaw entry above), but the specific quota NUMBERS (60/day, 40/day, 60/40 split) come only from this 2021 PDF -- lower confidence, worth re-checking. Corrects a prior mistake: Horseshoe Meadows (Cottonwood) had been tagged to inyo_jmw_aaw with the wrong (May1-Nov1) season.",
2026-07-23,inyo_hoover_nonquota,https://www.fs.usda.gov/sites/nfs/files/legacy-media/inyo/List%20of%20Trail%20Names%20and%20Quotas%206-13-2021.pdf,2021-06-13,user-pdf-screenshot,new-group,"New permit_group. Lundy Canyon (trail code HH01) and Saddlebag Lake (HH04) are both listed as Inyo NF-administered (not Humboldt-Toiyabe NF) and non-quota. RESOLVES an open question flagged in the 2026-07-22 hoover entry above (Lundy Canyon wasn't on Humboldt-Toiyabe's official trailhead list, and it was unclear which forest actually administers it). CORRECTS two prior mistakes: Lundy Canyon had been tagged to Humboldt-Toiyabe NF's quota'd hoover group; Saddlebag Lake had been tagged to the quota'd inyo_jmw_aaw group. Same 2021 PDF caveat as inyo_gtw above -- the agency/quota-status facts are unlikely to be stale, but treat as the least-fresh source in this dataset.",
2026-07-23,inyo_gtw,https://www.recreation.gov/permits/233262,,user-screenshot,unresolved-conflict,"CONFLICTS with the 2026-07-23 new-group entry above. This is a screenshot of the general Inyo NF recreation.gov listing (the same one apply_url already points to), whose 'Important Dates' table explicitly names 'Cottonwood Pass - Golden Trout Wilderness' with quota season May 1, 2026 - November 1, 2026 -- i.e. the GENERAL Inyo season, NOT the shorter 'last Friday in June - Sep 15' season the 2021 PDF gave for GT-coded trails. This screenshot was originally sent alongside the PDF screenshot in the same message but was not actually reviewed until a later turn -- a real gap in that verification pass, caught when the user asked whether it had been backfilled. NOT YET RECONCILED: possible explanations include (a) this recreation.gov 'Important Dates' table reflects whichever trail is currently selected in the page's interactive booking widget rather than being Cottonwood-specific and may not be accurate for that trail, (b) the 2021 PDF is simply outdated and the season has since changed to match the general Inyo season, or (c) some other explanation not yet checked. Next step: check the 'Trail Names & Quota' link in this same page's Additional Information panel -- it may be an updated version of the 2021 PDF with a newer date, which would settle this directly. permits.csv NOT changed pending resolution; inyo_gtw's notes field flags this conflict so it surfaces in --permits output too, not just here.",inyo-gtw-quota-table-source
2026-07-23,inyo_gtw,https://www.fs.usda.gov/sites/nfs/files/legacy-media/inyo/List%20of%20Trail%20Names%20and%20Quotas%206-13-2021.pdf,2021-06-13,user-pdf-full-text,unresolved-conflict,"Followed up on the prior entry's suggested next step: user opened the 'Trail Names & Quota' link from the recreation.gov Additional Information panel and it resolves to this SAME URL/PDF, confirmed byte-for-byte via full text extraction (not just filename match) -- footer text verbatim matches the 2026-07-23 new-group entry above, word for word, including the Golden Trout season line. This does NOT resolve the conflict -- it SHARPENS it: recreation.gov's own listing page simultaneously (a) shows a live 'Important Dates' calendar claiming May1-Nov1 for Cottonwood Pass, and (b) links to its own official reference document, confirmed unchanged since 2021, saying the shorter Jun26-Sep15 season. The two are inconsistent with EACH OTHER, not just with each other across different sites. Still not reconciled -- a decisive test would be checking whether Cottonwood Pass is actually bookable/shows availability on recreation.gov outside the Jun-Sep15 window (e.g. try selecting an April date); that would settle which system the live booking engine actually enforces. Not yet done. permits.csv still unchanged pending this.",inyo-gtw-quota-table-source
2026-07-23,inyo_gtw,https://www.fs.usda.gov/sites/nfs/files/publication/trail%20quota%20sheet.pdf_0.pdf,,user-screenshot,confirms-existing,"User independently found a SECOND government-hosted copy of this same table, at a different URL/path (fs.usda.gov's 'publication' library rather than 'legacy-media') -- this filename doesn't embed a date, so source_last_updated is unknown for this specific copy. Content is identical to the 2021-06-13 PDF: same title, same table order, same Cottonwood Lakes (GT39, 60/36/24) and Cottonwood Pass (GT60, 40/24/16) figures, same 'Golden Trout Wilderness ... Quota applies Last Friday in June through Sept 15th' footer text verbatim. RESOLVING the conflict logged in the two prior entries: it's now 2 independent official reference documents (different URLs) agreeing on the shorter Jun26-Sep15 GT season, versus 1 dynamic recreation.gov summary calendar claiming May1-Nov1 whose specificity to Cottonwood Pass was never independently confirmed (most likely a generic/default range the widget shows regardless of which trail is selected, rather than a real season change). Weight of evidence favors the shorter season already in permits.csv -- closing this as resolved in that direction. Not a certainty: the fully decisive test (checking live recreation.gov booking availability for Cottonwood outside Jun-Sep) was still not performed, and remains available if the user wants to fully rule out the other possibility.",inyo-gtw-quota-table-source
2026-07-23,inyo_gtw,https://www.recreation.gov/permits/233262,,user-screenshot,confirms-existing,"User ran the live-booking-availability test suggested in the prior entry. Checked recreation.gov's per-day availability table directly (not just the summary calendar text) for two dates: (1) 4/21/2027 -- before both proposed seasons, so non-discriminating as expected -- Cottonwood Lakes and Cottonwood Pass both show a released value of 0 (confirmed no quota, not 'NR'). (2) 9/21-24/2026 -- inside the discriminating window (after Sep15, before Nov1) -- Cottonwood Lakes and Cottonwood Pass show 'NR' on all 4 days. Per the page's own legend, NR = 'Not Yet Released', a distinct status from 'Unavailable' -- it means the system hasn't opened booking for that date, not that the date is confirmed out of season. Critically, the SAME 4 dates for Deer Lakes (a plain John Muir Wilderness trail, general Inyo system) already show real released numbers (6, 6, NR, 6) one row below -- meaning the 6-month advance window is clearly already open system-wide for that date range, yet Cottonwood specifically has not released for it. This is strong (not fully conclusive, since NR could in principle still resolve to a nonzero number later) structural evidence that Cottonwood Lakes/Cottonwood Pass run on a DIFFERENT release/quota mechanism than standard JM-coded trails, consistent with -- and further supporting -- the shorter GT-specific season already adopted in permits.csv. Does not upgrade the resolution to full certainty, but adds a third independent data point (live booking system behavior, not just static documents) pointing the same direction as the two PDF sources.",
2026-07-23,yosemite,https://www.nps.gov/yose/planyourvisit/wildpermitdates.htm,2025-11-13,user-screenshot,corrects-existing,"First independent verification of this permit_group (previously web-search synthesis only). CORRECTS the reservation mechanism: the 60% portion was modeled as a simple rolling reservation window (like Inyo/SEKI); it's actually a WEEKLY LOTTERY -- each week-long hiking-start window gets its own application period (opens Sunday 12:01am, closes the following Saturday 11:59pm, ~24 weeks/168 days ahead, results by Monday 5pm), with lottery-unclaimed spots opening first-come the following Friday up to 3 days out, and the remaining 40% released 7 days out (up to 3 days before entry). Structurally closer to the Whitney Zone lottery than to Inyo's system, just weekly instead of annual. ALSO CORRECTS an implicit assumption: season start is NOT a fixed May 1 park-wide -- source states late-April starts are available 'in some -- but not all -- areas of the park', with exact per-area dates in a downloadable dataset (linked from the source page, not retrieved). 05-01 in this row is now flagged as an approximation, not confirmed. permits.py gained a Yosemite-specific status branch so the report says 'apply to the weekly lottery' instead of the generic 'book now', matching the Whitney/CPMA precedent for permits whose mechanism doesn't fit the generic rolling-reservation model.",
