permit_group,agency,jurisdiction,permit_type,quota_required,quota_season_start,quota_season_end,reservation_window_days,reservation_method,fee_notes,apply_url,notes,interagency_note,source_last_updated,verified_date
none,,CA,No wilderness permit required,no,,,0,None — no wilderness permit is issued for this area.,Free,,Day hikers to non-wilderness peaks generally need nothing else.,,,
hoover,Humboldt-Toiyabe NF (Bridgeport Ranger District),CA,Hoover Wilderness Permit,yes,06-15,10-15,182,"For each quota'd trailhead, 50% of the quota is reservable on recreation.gov starting 6 months before entry (printable up to 7 days before entry); the remaining 50% opens 3 days before entry, printable immediately. Online purchase only -- no phone or in-person reservations. Trip leader must carry a signed physical (printed) copy for the whole trip.",$8/person ages 13+ (12 and under free) plus $6 non-refundable service fee per permit; recreation fee refundable only if cancelled 14+ days before entry,https://www.fs.usda.gov/r04/humboldt-toiyabe/permits/hoover-wilderness-permits,"Quota'd trailheads on the Humboldt-Toiyabe (Bridgeport RD) portion only: Buckeye Creek, Green Creek, Horse Creek, Leavitt Meadows, Little Slide Canyon, Robinson Creek (the trail out of Twin Lakes/Mono Village), and Virginia Lakes. A permit is required year-round for overnight stays even outside the Jun 15 - Oct 15 quota window, but this page doesn't state the off-season issuance method -- call the Bridgeport Ranger District (760-932-7070, Mon-Fri 8:30am-4pm PST) rather than assuming free self-issue. Max group size 15 people / 25 stock, EXCEPT the Sawtooth Ridge Zone (Matterhorn/Whorl/Virginia Peak area via the Robinson Creek/Twin Lakes trailhead), which caps at 8 people and no stock.","Confirmed: a Hoover Wilderness permit is honored for continuous travel into Yosemite National Park, Inyo National Forest, or Stanislaus National Forest without a separate permit -- 'with exceptions' per the source (e.g. the stricter 8-person/no-stock Sawtooth Ridge Zone cap still applies, and each area's own group-size/food-storage/campfire rules must still be followed). Applies e.g. to Twin Lakes via Robinson Creek/Peeler Lake/Rock Island Pass into Kerrick Canyon for Tower Peak.",2026-04-29,2026-07-22
inyo_jmw_aaw,Inyo National Forest,CA,Inyo NF Wilderness Permit (John Muir / Ansel Adams / Golden Trout-Inyo / Hoover-Inyo entries),yes,05-01,11-01,182,"60% of each trailhead's daily quota reservable on recreation.gov starting 6 months (7am Pacific) before entry; remaining 40% released 2 weeks before entry, same release time. Reservations can be made up to the day of the trip if quota space remains; cancelled permits return space to the calendar within 24 hours.",$6/permit + $5/person ($15/person if the trip enters or exits via the Mt. Whitney Zone),https://www.recreation.gov/permits/233262,"Independently corroborated via fs.usda.gov/r05/inyo/permits/wilderness-permits, which also states Inyo NF issues permits for John Muir, Ansel Adams, Hoover, and Golden Trout Wildernesses -- i.e. Inyo NF does administer part of Hoover Wilderness, alongside Humboldt-Toiyabe NF. Popular trailheads (Kearsarge Pass, Bishop Pass, Rush Creek, Cottonwood) can sell out within minutes of release. Outside May 1 - Nov 1 permits are free/self-issue, no reservation needed.","Honored for continuous travel into neighboring parks: Yosemite NP (Tioga Pass, Saddlebag Lake, Virginia Lakes, Walker Lake/Bloody Canyon corridors) and Sequoia & Kings Canyon NP (Taboose, Sawmill, Baxter, Shepherd Pass, Kearsarge Pass, Cottonwood Pass corridors) — no separate NPS permit needed. Per the official page: this requires *continuous* wilderness travel: a break (exiting to town and re-entering elsewhere) requires a new permit from the agency where the next section starts, except a reasonable resupply break for long-distance through-hikers.",2026-07-08,2026-07-23
inyo_hoover_nonquota,Inyo National Forest,CA,Inyo NF Wilderness Permit (Hoover Wilderness portion -- non-quota),no,,,0,"Non-quota -- not part of the 6-month/2-week rolling reservation system. Presumed free self-issue at trailhead or ranger station kiosk, consistent with every other 'Non Quota--Unlimited'-labeled trail on Inyo NF's own table (e.g. Kennedy Meadows South, Trail Pass, Wildrose); NOT explicitly restated for this specific trail, so treat as an inference from the pattern rather than a direct quote.","Free (assumed, matching the self-issue pattern for other Inyo NF non-quota trails -- not explicitly confirmed for this trail)",https://www.fs.usda.gov/r05/inyo/permits/wilderness-permits,"SOURCE IS DATED -- see source_last_updated. Lundy Canyon (trail code HH01) and Saddlebag Lake (HH04) are both listed as Inyo NF-administered (HH = Hoover Wilderness) and 'Non Quota' on the PDF table linked from the wilderness-permits page. This resolves an open question from an earlier commit: Lundy Canyon was previously tagged to Humboldt-Toiyabe NF's quota'd hoover permit group -- WRONG, it's actually Inyo NF and non-quota. Saddlebag Lake was previously tagged to the May 1 - Nov 1 quota'd inyo_jmw_aaw group -- also WRONG, it's non-quota. Only Yosemite Mountain Guides are permitted to guide in this portion of Hoover Wilderness (per the source, relevant only for commercial trips). The AGENCY/quota-status facts are unlikely to have changed since 2021, but re-confirm before a real trip since this source is the oldest in this dataset.",Same continuous-travel reciprocity into Yosemite/Ansel Adams as the general Inyo NF permit.,2021-06-13,2026-07-23
whitney_zone,Inyo National Forest,CA,Mount Whitney Zone Permit (classic Mt. Whitney Trail only -- see notes),yes,05-01,11-01,,"Lottery on recreation.gov: apply Feb 1 - Mar 1, results published Mar 15, claim & pay the $15/person fee by Apr 21. Unclaimed dates open first-come at 7am Pacific on Apr 22. Outside the quota season (Nov 2 - Apr 30), permits are still required and still reserved online (not walk-up self-issue) but are unlimited -- reservable up to 2 weeks ahead.",$15/person lottery-claim/reservation fee; a $6 recreation.gov service fee applies as with other permits on this system (not explicitly restated on this page),https://www.recreation.gov/permits/445860,"Resolved a prior ambiguity: there is only ONE results date (Mar 15, not two). Daily quota is 100 people/day for Day Use permits and 60 people/day for Overnight permits (previously listed backwards here). Day Use permits are valid one day only (midnight-midnight), cannot be consecutive, and CANNOT be combined with other permits to pass through/exit the zone. IMPORTANT SCOPE LIMIT: this permit type covers only the classic Mt. Whitney Trail (Day Use or Overnight, e.g. Mount Whitney, Mount Muir). Climbs approaching via the North Fork of Lone Pine Creek trail (Mountaineers Route, East Face, East Buttress, or Mt. Russell) are NOT covered by this permit/lottery -- they use the regular Inyo NF wilderness permit (see the inyo_jmw_aaw group) instead. This tool tags the whole Whitney Portal trailhead to whitney_zone uniformly and has no route-level data, so peaks reached via that different trail (e.g. Mount Russell) may be mismodeled here -- verify the actual approach route before relying on this permit type.",For the OVERNIGHT Mt. Whitney Trail permit only (not Day Use): can extend for multiple nights and exit via the John Muir Trail into Yosemite National Park without a separate permit. Day Use permits explicitly cannot be combined with other permits for pass-through/exit.,,2026-07-23
inyo_gtw,Inyo National Forest,CA,Inyo NF Wilderness Permit (Golden Trout Wilderness portion -- Cottonwood Basin/Cottonwood Pass),yes,06-26,09-15,182,"Same recreation.gov mechanics as the general Inyo NF permit: 60% of quota reservable starting 6 months before entry, remaining 40% released 2 weeks before entry. Select the Cottonwood Lakes (trail code GT39) or Cottonwood Pass (GT60) trail specifically, NOT a John Muir/Ansel Adams trail.",$6/permit + $5/person (same fee structure as the general Inyo NF permit; not independently reconfirmed for this trail specifically),https://www.recreation.gov/permits/233262,"Source conflict resolved by weight of evidence -- run `--permit-sources inyo_gtw` for the full history. Two independent government-hosted reference documents (different URLs, both fs.usda.gov) agree GT-coded trails (Trail code begins with GT) run 'Last Friday in June through Sept 15th', not the general May1-Nov1 Inyo season -- Cottonwood Lakes (GT39, quota 60/day, 36/24 split) and Cottonwood Pass (GT60, quota 40/day, 24/16 split) both fall under it. This conflicted with recreation.gov's own 'Important Dates' summary calendar, which named 'Cottonwood Pass - Golden Trout Wilderness' with a May1-Nov1 season; that calendar's specificity to Cottonwood was never independently confirmed and is treated as the likely-inaccurate outlier given two other sources agree against it, not as a real season change. Live-booking-system check (Sept 2026 dates) adds a third data point in the same direction: Cottonwood shows 'Not Yet Released' while a same-date general-system trail (Deer Lakes) already shows real released numbers, meaning Cottonwood is confirmed to run on a different release/quota mechanism than standard trails -- consistent with, though not 100% proof of, the shorter season. Previously both trails were lumped into the inyo_jmw_aaw group with the wrong (May1-Nov1) season -- corrected to this shorter one. Outside the quota season, a permit is still required (free/self-issue per the general Golden Trout Wilderness pattern -- see gtw_free -- but obtained from Inyo NF for this specific entry, not Sequoia NF).","Same reciprocity as the general Inyo NF permit: honored for continuous travel into neighboring Golden Trout Wilderness (Sequoia NF side, self-issue) and onward per the same continuous-travel condition.",2021-06-13,2026-07-23
sierra_nf,Sierra National Forest,CA,"Sierra NF Wilderness Permit (John Muir / Ansel Adams west side, Dinkey Lakes, Kaiser)",yes,,,182,"Quotas apply year-round (no off-season exemption). 60% of the trailhead quota reservable on recreation.gov in a continuous rolling window from 6 months up to 14 days before entry (bookable until 1 day before if space remains); the other 40% is also on recreation.gov, released for shorter-notice/walk-up booking. No phone reservations. Permit must be picked up in person at the High Sierra or Bass Lake Ranger District by 10am the day of entry, unless prior arrangements are made.",$6/permit + $5/person (max 15 people per permit),https://www.fs.usda.gov/r05/sierra/permits/obtaining-wilderness-permit,"Permits/quotas are required year-round for overnight trips into John Muir, Ansel Adams, Dinkey Lakes and Kaiser Wildernesses; day hikes need no permit. Max stock 25 head. Also cross-checked against recreation.gov listing https://www.recreation.gov/permits/445858.","Honored for continuous travel into Yosemite National Park via Isberg Pass (e.g. Clover Meadow/Isberg trailhead to Foerster Peak) or into Sequoia/Kings Canyon — no separate NPS permit needed, but per the official page the National Park must be listed on your itinerary when you reserve for the interagency permit to be honored there. Conversely, a National Park permit is valid on this forest's wilderness only if it's listed on that itinerary too.",2026-01-22,2026-07-22
yosemite,Yosemite National Park,CA,Yosemite Wilderness Permit,yes,05-01,10-31,168,"60% of each week's quota is allocated by a WEEKLY LOTTERY, not simple first-come booking: for each week-long hiking-start window, the lottery application period opens Sunday 12:01am and closes the following Saturday 11:59pm, roughly 24 weeks (168 days) before that week, with results notified by Monday 5pm. Lottery-unclaimed spots from that week open first-come-first-served on recreation.gov the Friday after the application period closes, up to 3 days before entry. The remaining 40% of each week's quota becomes available on recreation.gov 7 days in advance (up to 3 days before entry), first-come.",$5/person reservation fee (not independently reconfirmed this pass),https://www.recreation.gov/permits/445859,"CORRECTS an earlier assumption: this project had modeled the 60% portion as a simple rolling reservation window like Inyo/SEKI; it's actually a weekly lottery cycle (see reservation_method) -- structurally closer to the Whitney Zone lottery than to Inyo's system, just on a weekly rather than annual cadence. Season start is NOT a fixed May 1 park-wide -- the source states reservations open for start dates in late April 'in some -- but not all -- areas of the park', with exact per-area dates in a downloadable dataset linked from the source page (not retrieved here); treat 05-01 below as an approximation, not confirmed. Off-season (outside the reservable window) permits are free, self-issue, no quota. See https://www.nps.gov/yose/planyourvisit/wildpermitdates.htm for the current reservation window.","Yosemite-issued permits are likewise honored if your route continues out into neighboring Inyo, Sierra, Stanislaus or Humboldt-Toiyabe NF wilderness on the same continuous trip.",2025-11-13,2026-07-23
seki,Sequoia & Kings Canyon National Parks,CA,SEKI Wilderness Permit,yes,05-22,09-26,182,"Confirmed genuinely a simple rolling release, not a lottery (unlike Yosemite): reservations open on recreation.gov up to 6 months before entry, released daily at 7:00am Pacific. Entry point and entry date cannot be changed after booking (would need a new reservation); exit date/itinerary can be adjusted later. Permit must be PHYSICALLY PICKED UP at the trailhead's Wilderness Office/desk -- a recreation.gov confirmation email is not a valid permit. Pickup window: as early as 1pm the day before entry, no later than 10am the morning of entry; call ahead (559-565-3766) if you'll be later or the reservation is cancelled at 10am and released to walk-ups.",$15/trip + $5/person within quota season; per-person portion refundable if cancelled up to 1 week before the trip,https://www.recreation.gov/permits/445857,"Confirmed word-for-word against the official page (Last updated November 25, 2025) on 2026-07-23: season is exactly May 22 - Sep 26, 2026 as already listed; fee, and the 6-month/7am-daily rolling-release mechanism, all match exactly what this project already had -- no lottery surprise here, unlike Yosemite. Off-season (Sep 28, 2025 - May 21, 2026 specifically, not just 'late Sep-late May') permits are free, self-issue, available 24hrs at kiosks near each trailhead. Walk-up permits (no advance reservation) are also available starting 1pm the day before entry, same fee, paid at the station. Rae Lakes Loop, High Sierra Trail and Copper Creek sell out fast on release day.","Confirmed and broadened: 'you can generally obtain your permit for your entire itinerary from the agency where your trip begins (e.g. the Inyo, Sierra, or Sequoia national forests, or Yosemite National Park)' -- reciprocity applies to Sierra NF and Yosemite NP too, not just Inyo NF as previously noted (still applies at the shared cross-Sierra passes: Taboose, Sawmill, Baxter, Shepherd Pass, Kearsarge Pass, Cottonwood Pass). OPEN QUESTION, not yet resolved: the source specifically flags that entries via Jennie Lakes Wilderness (Sequoia NF) DO need a SEKI recreation.gov permit if the route continues into the park, via the JO Pass, Belle Canyon, or Sugarloaf entry points -- even though Jennie Lakes Wilderness itself needs no permit for use that stays within it (see the 'none' permit_group note on the Marvin Pass trailhead). Whether the SPS peaks reached from Marvin Pass (Whaleback, Glacier Ridge) actually cross into SEKI via one of those three named entry points hasn't been confirmed -- don't assume 'none' is correct for that trailhead without checking.",2025-11-25,2026-07-23
gtw_free,Sequoia National Forest,CA,"Golden Trout / Monarch / South Sierra Wilderness Permit (free, self-issue)",no,,,0,"Confirmed via official page: ""Visitor permits (required only for overnight stays in the Golden Trout Wilderness) are available from forest offices near wilderness entry points."" Day use needs no wilderness permit.",Free,https://www.fs.usda.gov/r05/sequoia/recreation/golden-trout-wilderness,"Partially confirmed against the official page (Last updated September 3, 2025) on 2026-07-23: overnight-permit requirement, day-use exemption, and the campfire-permit requirement are all confirmed word for word. The page's own wording is 'available from forest offices near wilderness entry points' -- doesn't explicitly use the words 'free' or 'self-issue' the way other agencies' pages have; kept the self-issue framing since it matches the general USFS pattern for non-quota wildernesses (see inyo_hoover_nonquota, stanislaus_free for the same pattern elsewhere), but this specific detail (staffed vs. unstaffed kiosk) isn't independently nailed down. Seasons of Use (per the page's expanded accordion): 'June-November' -- this is a general trail-access/snow-free window, not a permit quota season (the wilderness is confirmed non-quota above). Restrictions: campfires may be prohibited for dispersed camping depending on current fire danger -- check before relying on a stove-free campfire. Ranger district contacts: Kern River RD (760-376-3781); Western Divide RD, 32588 Highway 190, Springville CA 93265, (559-539-2607), Mon-Fri 8am-4:30pm. No quota. Wilderness spans both Sequoia and Inyo NF (confirmed). Exception: entries into the Golden Trout Wilderness via Cottonwood Basin or Cottonwood Pass are issued by Inyo NF instead, on a DIFFERENT (shorter) quota season -- see the inyo_gtw permit group, not inyo_jmw_aaw.",,2025-09-03,2026-07-23
